Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,80.75,82.43,79.58000200000001,82.43,82.127502,704300
2006-01-04,82.43,83.260002,82.290001,83.0,82.695419,455300
2006-01-05,83.110001,83.110001,81.620003,82.379997,82.077682,287800
2006-01-06,82.779999,83.910004,82.779999,83.620003,83.313148,414200
2006-01-09,83.5,85.459999,83.5,85.150002,84.837524,379800
2006-01-10,85.129997,85.349998,84.58000200000001,85.199997,84.887337,198300
2006-01-11,85.209999,86.870003,85.120003,86.599998,86.282196,435300
2006-01-12,86.629997,87.199997,86.16999799999999,87.120003,86.800301,302200
2006-01-13,87.120003,87.699997,86.910004,87.239998,86.919853,252300
2006-01-17,87.040001,87.120003,85.589996,86.120003,85.80396999999999,379000
2006-01-18,86.129997,86.400002,85.639999,86.129997,85.813919,380300
2006-01-19,86.300003,86.800003,86.089996,86.5,86.182571,351700
2006-01-20,86.360001,87.25,85.360001,85.849998,85.53495799999999,449800
2006-01-23,85.300003,86.709999,85.160004,85.970001,85.65451800000001,237600
2006-01-24,86.349998,87.5,86.300003,86.699997,86.381828,1448900
2006-01-25,89.349998,93.089996,89.150002,93.019997,92.67864200000001,1980300
2006-01-26,93.019997,94.980003,93.019997,94.459999,94.11335799999999,817800
2006-01-27,94.400002,94.400002,91.739998,91.910004,91.572723,857700
2006-01-30,91.879997,92.900002,91.769997,92.019997,91.682312,689100
2006-01-31,92.150002,93.610001,91.809998,92.800003,92.45945,509600
2006-02-01,92.75,93.540001,91.800003,92.07,91.732124,550800
2006-02-02,92.300003,92.75,91.449997,91.91999799999999,91.582672,496000
2006-02-03,91.91999799999999,92.769997,91.059998,91.160004,90.82547,384100
2006-02-06,91.400002,92.379997,91.160004,92.32,91.98120899999999,286800
2006-02-07,92.629997,93.5,90.83000200000001,91.150002,90.815506,300700
2006-02-08,91.269997,91.449997,90.099998,91.199997,90.865318,275900
2006-02-09,91.41999799999999,92.589996,90.910004,91.16999799999999,90.835426,255800
2006-02-10,91.16999799999999,91.16999799999999,89.400002,89.940002,89.60994699999999,260600
2006-02-13,90.18,90.68,89.309998,89.82,89.490387,285000
2006-02-14,90.25,91.599998,89.699997,91.050003,90.715874,307700
2006-02-15,91.199997,92.309998,90.959999,92.300003,91.961281,246700
2006-02-16,92.489998,94.650002,92.489998,94.190002,93.844353,565200
2006-02-17,94.209999,94.739998,93.949997,94.41999799999999,94.073502,459500
2006-02-21,94.639999,95.379997,94.25,94.699997,94.35247,586400
2006-02-22,95.349998,98.260002,95.349998,97.400002,97.04257199999999,868100
2006-02-23,97.5,98.959999,97.33000200000001,98.510002,98.148499,728400
2006-02-24,98.599998,99.889999,98.599998,99.66999799999999,99.304237,858400
2006-02-27,99.470001,101.400002,99.41999799999999,100.760002,100.390244,627300
2006-02-28,100.68,101.199997,97.519997,98.43,98.068787,1378900
2006-03-01,98.43,100.139999,98.43,99.32,98.95552099999999,534100
2006-03-02,99.32,100.650002,98.989998,100.5,100.13119499999999,581400
2006-03-03,100.25,101.790001,100.099998,101.129997,100.758881,620800
2006-03-06,100.879997,101.0,98.16999799999999,98.400002,98.03890200000001,447700
2006-03-07,98.400002,98.400002,96.040001,96.519997,96.16579399999999,589500
2006-03-08,96.449997,97.279999,95.510002,96.029999,95.677589,565000
2006-03-09,96.25,97.099998,94.849998,94.980003,94.631454,373000
2006-03-10,95.18,95.83000200000001,94.91999799999999,95.199997,94.850639,506700
2006-03-13,97.150002,98.760002,95.900002,97.970001,97.61048100000001,743500
2006-03-14,98.849998,101.459999,98.660004,101.029999,100.659256,1036000
2006-03-15,101.199997,102.949997,101.150002,102.050003,101.675507,1893700
