Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.9575,8.96,8.6425,8.8125,8.346849,2075600
2006-01-04,8.875,9.0475,8.8725,8.9875,8.512601,2772800
2006-01-05,9.0075,9.0075,8.7725,8.89,8.420253,4323600
2006-01-06,8.89,8.89,8.67,8.815,8.349216,1547200
2006-01-09,8.7525,8.9875,8.7375,8.9575,8.484185,1998800
2006-01-10,8.925,8.9425,8.805,8.885,8.415519999999999,877200
2006-01-11,8.925,8.925,8.325,8.3375,7.896947999999999,3300000
2006-01-12,7.95,8.14,7.905,8.05,7.624639,9614800
2006-01-13,8.105,8.1575,7.815,7.935,7.5157169999999995,4072800
2006-01-17,7.775,7.82,7.51,7.575,7.174739,3967600
2006-01-18,7.5125,7.8425,7.4625,7.715,7.307339999999999,3000000
2006-01-19,7.715,7.9275,7.6875,7.72,7.312075,2928000
2006-01-20,7.7375,7.75,7.475,7.5125,7.115541,3000400
2006-01-23,7.55,7.6725,7.5125,7.645,7.241039,1922800
2006-01-24,7.725,7.9025,7.725,7.845,7.430472,2392000
2006-01-25,7.87,7.9,7.675,7.82,7.4067929999999995,2310000
2006-01-26,7.85,7.9225,7.6875,7.705,7.297869,3328000
2006-01-27,7.75,7.75,7.5,7.6125,7.210257,2585600
2006-01-30,7.6925,7.7725,7.58,7.615,7.212624000000001,2555200
2006-01-31,7.9,8.035,7.805,7.9825,7.560707000000001,3661200
2006-02-01,8.0175,8.0475,7.7375,7.8425,7.428103999999999,2073600
2006-02-02,7.875,8.04,7.825,7.9825,7.560707000000001,2375200
2006-02-03,7.95,7.9525,7.77,7.8975,7.480199000000001,1759200
2006-02-06,7.895,7.895,7.6625,7.7225,7.314445,1777600
2006-02-07,7.7475,7.7475,7.5875,7.6325,7.229199,1485600
2006-02-08,7.6325,7.7725,7.6325,7.7575,7.347594,1649200
2006-02-09,7.8075,7.935,7.75,7.89,7.473094000000001,1876800
2006-02-10,7.93,7.975,7.785,7.9375,7.518084,1667600
2006-02-13,7.9525,8.08,7.85,7.8875,7.470725999999999,1632800
2006-02-14,7.9125,8.1775,7.8925,8.1225,7.693307000000001,3746800
2006-02-15,8.12,8.2325,8.05,8.2125,7.778553,4960400
2006-02-16,8.215,8.2775,8.1675,8.2175,7.783286,3310000
2006-02-17,7.98,8.215,7.98,8.0125,7.589119999999999,1309200
2006-02-21,7.975,8.0,7.8225,7.875,7.458887,1182400
2006-02-22,7.9375,8.0425,7.8675,8.0,7.577281,1132800
2006-02-23,8.0625,8.1875,8.0175,8.06,7.634111,2466800
2006-02-24,8.0,8.02,7.825,7.92,7.5015089999999995,1604000
2006-02-27,7.975,8.1525,7.975,8.09,7.662527000000001,1508400
2006-02-28,8.065,8.0975,7.945,8.0125,7.589119999999999,2072000
2006-03-01,8.05,8.0725,7.895,7.9775,7.555969999999999,2074800
2006-03-02,7.96,7.98,7.7575,7.81,7.397321000000001,2265200
2006-03-03,7.7975,7.8,7.575,7.5975,7.196049,3613600
2006-03-06,7.36,7.6425,7.36,7.52,7.122644,2084400
2006-03-07,7.5075,7.67,7.4375,7.5725,7.17237,2476800
2006-03-08,7.5725,7.7425,7.525,7.7075,7.300236999999999,2665600
2006-03-09,7.7025,7.715,7.4525,7.52,7.122644,2030800
2006-03-10,7.57,7.61,7.5075,7.585,7.184209,1373200
2006-03-13,7.65,7.765,7.5375,7.5725,7.17237,2275200
2006-03-14,7.5875,7.7475,7.5875,7.715,7.307339999999999,2149600
2006-03-15,7.72,7.775,7.65,7.72,7.312075,3337200
2006-03-16,7.8125,7.9175,7.8075,7.91,7.492037,2740400
2006-03-17,7.9625,8.1,7.925,8.095,7.667261999999999,4505200
2006-03-20,8.1125,8.4075,8.1,8.3825,7.93957,5998800
2006-03-21,8.45,8.61,8.41,8.44,7.99403,5441600
2006-03-22,8.44,8.685,8.44,8.6725,8.214248,4935600
2006-03-23,8.675,8.6875,8.5125,8.56,8.107692,6555200
2006-03-24,8.57,8.6475,8.5475,8.585,8.131371000000001,3514000
2006-03-27,8.625,8.805,8.6225,8.7525,8.290019000000001,3839200
2006-03-28,8.755,8.7575,8.5825,8.595,8.140841,5042800
2006-03-29,8.645,8.8725,8.6125,8.86,8.391839,2925600
2006-03-30,8.8625,8.885,8.6725,8.775,8.31133,3682400
2006-03-31,8.8125,8.9875,8.8125,8.8625,8.394207000000002,4160400
2006-04-03,8.975,8.975,8.65,8.705,8.245028,4545200
2006-04-04,8.7575,8.86,8.675,8.7725,8.308962,3015200
2006-04-05,8.7725,8.825,8.645,8.71,8.249766000000001,1666800
2006-04-06,8.71,8.75,8.575,8.745,8.282915,1996800
2006-04-07,8.8225,8.925,8.7375,8.815,8.349216,2635200
2006-04-10,8.79,8.8225,8.6425,8.7,8.240293,3270400
2006-04-11,8.7,8.74,8.5,8.53,8.079275,2016000
2006-04-12,8.625,8.675,8.465,8.57,8.117163,1155200
2006-04-13,8.5725,8.9825,8.55,8.8025,8.337378,1895200
2006-04-17,8.97,9.0125,8.6325,8.6625,8.204774,3805600
2006-04-18,8.6575,9.04,8.625,8.87,8.401311,2996400
2006-04-19,8.8875,9.01,8.7525,8.85,8.382366000000001,2292400
2006-04-20,9.375,9.375,9.125,9.2625,8.773071,5373600
2006-04-21,9.375,9.5975,9.375,9.4375,8.938824,4970000
2006-04-24,9.425,9.6225,9.315,9.5725,9.066689,4569200
2006-04-25,9.5375,9.78,9.4225,9.63,9.121153,3690800
2006-04-26,9.6425,9.74,9.485,9.535,9.031171,2404000
2006-04-27,9.545,9.8425,9.525,9.6775,9.166142,1935200
2006-04-28,9.615,9.615,9.41,9.49,8.98855,3345200
2006-05-01,9.49,9.59,9.3,9.3475,8.853579,3424400
2006-05-02,9.5875,9.9375,9.54,9.87,9.348471,4444400
2006-05-03,9.8875,9.8925,9.6875,9.86,9.338999000000001,5021200
2006-05-04,9.9225,9.975,9.8675,9.93,9.405298,2620000
2006-05-05,9.905,9.955,9.865,9.9375,9.412402,1761600
2006-05-08,9.9775,10.0925,9.86,9.92,9.395828,1939600
2006-05-09,9.9525,10.1225,9.95,10.1075,9.57342,2118000
2006-05-10,10.0675,10.135,9.7825,9.845,9.324794,2179200
2006-05-11,9.825,9.825,9.595,9.595,9.088002000000001,2256800
2006-05-12,9.595,9.69,9.3575,9.375,8.879624,2630000
2006-05-15,9.45,9.905,9.445,9.855,9.334261999999999,2884000
2006-05-16,9.855,9.9,9.35,9.3975,8.900936999999999,2424800
2006-05-17,9.3825,9.5425,9.1625,9.2525,8.763598,3185200
2006-05-18,9.3025,9.5125,9.24,9.2525,8.763598,1359600
2006-05-19,9.275,9.565,9.21,9.4925,8.990919,3163200
2006-05-22,9.45,9.5875,9.3975,9.4925,8.990919,3532400
2006-05-23,9.575,9.8125,9.575,9.645,9.135358,3161200
2006-05-24,9.71,9.725,9.45,9.515,9.012229,2903600
2006-05-25,9.6125,9.65,9.5,9.52,9.016964999999999,2084400
2006-05-26,9.6,9.76,9.5375,9.6275,9.118783,2990400
2006-05-30,9.63,9.75,9.3525,9.38,8.884361,3476800
2006-05-31,9.445,9.75,9.445,9.685,9.173247,3459200
2006-06-01,9.7475,9.9975,9.7475,9.9575,9.431348,1836000
2006-06-02,9.955,9.975,9.7475,9.825,9.305846,2006800
2006-06-05,9.775,9.7775,9.5125,9.5675,9.061954,3327200
2006-06-06,9.6625,9.7475,9.335,9.6675,9.156671000000001,2606800
2006-06-07,9.7525,9.95,9.66,9.6875,9.175614,2886800
2006-06-08,9.66,9.66,9.115,9.4625,8.962501,2955200
2006-06-09,9.4625,9.65,9.39,9.4125,8.915146,1156800
2006-06-12,9.47,9.47,8.945,8.955,8.481817999999999,2428000
2006-06-13,8.955,9.0475,8.6575,8.7275,8.26634,4010000
2006-06-14,8.755,9.0725,8.755,8.99,8.514969,2067600
2006-06-15,8.99,9.56,8.91,9.4975,8.995650999999999,2427200
2006-06-16,9.5,9.7475,9.4275,9.5,8.998021000000001,3606000
2006-06-19,9.55,9.65,9.41,9.46,8.960135000000001,2232000
2006-06-20,9.47,9.8575,9.4525,9.675,9.163774,1977200
2006-06-21,9.675,9.9325,9.6525,9.755,9.23955,1894000
2006-06-22,9.7125,9.845,9.635,9.78,9.263225,2240400
2006-06-23,9.73,9.81,9.58,9.7375,9.22297,1357600
2006-06-26,9.7625,9.8725,9.585,9.84,9.320055,1853600
2006-06-27,9.85,9.8975,9.47,9.505,9.002757,2075200
2006-06-28,9.55,9.59,9.1425,9.2725,8.782544,3166000
2006-06-29,9.35,9.83,9.3325,9.81,9.29164,2282400
2006-06-30,9.815,9.855,9.4825,9.855,9.334261999999999,3097200
